City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
4,Sorong,ID,77.85,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
15,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Nipawin,CA,78.84,broken clouds,53.3668,-104.0009,Tobin Lake Motel
22,Isla Mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
27,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
28,Victoria,HK,84.18,overcast clouds,22.2855,114.1577,Mini Central
37,Hithadhoo,MV,83.62,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
48,Ewo,CG,80.94,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
53,Basirhat,IN,85.98,overcast clouds,22.6685,88.8697,BESIDE BASIRHAT COLLEGE & KALI MANDIR
56,Diplo,PK,83.55,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
57,Kudahuvadhoo,MV,83.41,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
66,Kihei,US,84.22,scattered clouds,20.785,-156.4656,Maui Sunset
70,Hami,CN,79.57,clear sky,42.8,93.45,Laoyutang Resort
72,Lorengau,PG,82.81,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Port Blair,IN,81.41,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
77,Mlonggo,ID,78.01,heavy intensity rain,-6.5333,110.7,Asia Metal Art
79,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
84,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
88,Port Alfred,ZA,78.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
96,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
98,Qui Nhon,VN,80.37,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
101,Hambantota,LK,80.38,overcast clouds,6.1241,81.1185,Bungalow 63
107,Kavieng,PG,82.0,moderate rain,-2.5744,150.7967,Nusa Island Retreat
108,Hadejia,NG,86.5,few clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
112,Prince Albert,CA,75.15,overcast clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
118,Sao Jose Da Coroa Grande,BR,76.64,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
119,Bandundu,CD,76.55,scattered clouds,-3.3167,17.3667,Coja Color
121,Acajutla,SV,82.26,broken clouds,13.5928,-89.8275,Laureles
123,Warri,NG,75.83,overcast clouds,5.5167,5.75,BON Hotel Delta
124,Cockburn Town,TC,80.82,few clouds,21.4612,-71.1419,Osprey Beach Hotel
128,Manokwari,ID,81.64,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
132,Hecun,CN,77.72,clear sky,36.5333,114.1111,Yijia Hotel
134,Butaritari,KI,82.24,few clouds,3.0707,172.7902,Isles Sunset Lodge
136,Kieta,PG,83.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
141,Atuona,PF,77.9,broken clouds,-9.8,-139.0333,Villa Enata
143,Meulaboh,ID,75.78,overcast clouds,4.1363,96.1285,Kost Pria
145,Garoua,CM,77.47,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
146,Tabou,CI,77.49,overcast clouds,4.423,-7.3528,hotêl doufoulougou
147,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
160,Tual,ID,83.12,light rain,-5.6667,132.75,Grand Vilia Hotel
161,Thompson,CA,75.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
162,Mangrol,IN,81.97,broken clouds,21.1167,70.1167,Hotel The Royal Honours
167,Carutapera,BR,75.96,broken clouds,-1.195,-46.02,Lidera
172,Ixtapa,MX,87.22,few clouds,20.7,-105.2,hotel la terminal
173,George Town,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
177,Korla,CN,80.31,clear sky,41.7597,86.1469,Gulisitan Hotel
197,Estelle,US,90.0,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
199,East London,ZA,75.9,overcast clouds,-33.0153,27.9116,Tu Casa
209,Brigantine,US,76.03,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
210,Sinor,IN,82.78,broken clouds,21.9167,73.3333,Reva Forest Homestay
212,Kavaratti,IN,82.92,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
213,Amet,IN,81.25,broken clouds,25.3,73.9333,Nimit Mehta
217,Dakar,SN,82.53,broken clouds,14.6937,-17.4441,Novotel Dakar
222,San Policarpo,PH,82.29,broken clouds,12.1791,125.5072,Agapita M. Nicart
225,Biltine,TD,82.89,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
236,Phan Thiet,VN,77.83,broken clouds,10.9333,108.1,Hotel Saigon-PT
237,Faanui,PF,79.79,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
253,Biak,ID,76.89,overcast clouds,-0.9131,122.8766,Penginapan Kim
256,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
266,Umm Lajj,SA,83.14,clear sky,25.0213,37.2685,Moon light Furnished Units
273,Acapulco,MX,84.65,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
275,Pochutla,MX,84.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
277,Mogadishu,SO,78.55,light rain,2.0371,45.3438,Hotel Juba
278,Daru,PG,78.49,overcast clouds,-9.0763,143.2092,Daru Lodge
282,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
285,Manaure,CO,84.09,overcast clouds,11.7751,-72.4445,Hotel Palaaima
289,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
295,Axim,GH,76.93,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
299,Lompoc,US,85.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
300,Omboue,GA,75.45,overcast clouds,-1.5746,9.2618,Hotel Olako
305,Vanimo,PG,79.45,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
308,Wajir,KE,75.27,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
311,Champerico,GT,77.54,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
312,Ocos,GT,82.0,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
314,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
317,Labuhan,ID,77.59,overcast clouds,-6.8844,112.2051,DoubleFAG
322,Magdalena,PH,83.35,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
323,Kailua,US,85.41,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
326,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
327,Uribia,CO,84.81,overcast clouds,11.7139,-72.266,Hotel Uribia
331,Buchanan,LR,77.23,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
334,Itarema,BR,77.0,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
