City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bouna,CI,9.2667,-3.0,72.82,89,81,0.98,light rain
1,Khatanga,RU,71.9667,102.5,61.92,40,100,10.78,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,42.46,93,40,11.5,scattered clouds
3,Salalah,OM,17.0151,54.0924,86.09,84,75,5.75,broken clouds
4,Sorong,ID,-0.8833,131.25,77.85,88,100,7.65,overcast clouds
5,Bluff,NZ,-46.6,168.3333,43.81,80,98,34.02,moderate rain
6,Carnarvon,AU,-24.8667,113.6333,64.47,71,19,14.54,few clouds
7,Port Hardy,CA,50.6996,-127.4199,55.58,67,75,10.36,broken clouds
8,Grindavik,IS,63.8424,-22.4338,49.95,93,100,12.66,moderate rain
9,Vestmannaeyjar,IS,63.4427,-20.2734,46.81,90,100,10.11,light rain
10,Lavrentiya,RU,65.5833,-171.0,40.55,61,99,3.09,overcast clouds
11,Husavik,IS,66.0449,-17.3389,43.18,92,100,4.54,overcast clouds
12,Svetlyy,RU,54.675,20.1347,55.45,86,100,6.91,overcast clouds
13,Souillac,MU,-20.5167,57.5167,71.98,88,75,12.66,light rain
14,Margate,GB,51.3813,1.3862,61.7,62,90,5.01,overcast clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,78.76,92,51,7.0,broken clouds
16,Kapaa,US,22.0752,-159.319,84.18,75,20,16.11,few clouds
17,Katsuura,JP,35.1333,140.3,68.45,70,100,6.58,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,48.31,81,75,5.75,broken clouds
19,Tasiilaq,GL,65.6145,-37.6368,37.56,99,100,5.26,light rain
20,Nipawin,CA,53.3668,-104.0009,78.84,31,75,5.75,broken clouds
21,Sao Filipe,CV,14.8961,-24.4956,73.54,84,8,1.32,clear sky
22,Isla Mujeres,MX,21.2311,-86.731,86.16,76,4,10.45,clear sky
23,Boguchany,RU,58.3814,97.4531,62.82,92,89,3.42,overcast clouds
24,Fairbanks,US,64.8378,-147.7164,67.01,50,20,1.01,smoke
25,Yellowknife,CA,62.456,-114.3525,66.72,52,75,11.5,broken clouds
26,Catamarca,AR,-28.4696,-65.7852,62.58,55,0,12.5,clear sky
27,Vaini,TO,-21.2,-175.2,80.76,89,40,9.22,scattered clouds
28,Victoria,HK,22.2855,114.1577,84.18,87,100,11.99,overcast clouds
29,Ribeira Grande,PT,38.5167,-28.7,62.85,76,14,23.76,few clouds
30,Soyo,AO,-6.1349,12.3689,73.58,91,61,5.35,broken clouds
31,Beloha,MG,-25.1667,45.05,60.94,74,0,7.85,clear sky
32,Albany,US,42.6001,-73.9662,69.46,76,96,1.99,overcast clouds
33,Ballina,AU,-28.8667,153.5667,54.01,70,98,7.9,overcast clouds
34,Geraldton,AU,-28.7667,114.6,61.21,72,100,9.22,overcast clouds
35,Nuuk,GL,64.1835,-51.7216,31.87,73,100,13.0,overcast clouds
36,Rikitea,PF,-23.1203,-134.9692,73.22,71,40,9.98,light rain
37,Hithadhoo,MV,-0.6,73.0833,83.62,73,100,9.04,overcast clouds
38,Dikson,RU,73.5069,80.5464,29.7,95,100,16.89,overcast clouds
39,Port Lincoln,AU,-34.7333,135.8667,52.65,79,99,10.89,overcast clouds
40,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,19.57,few clouds
41,Barrow,US,71.2906,-156.7887,30.22,80,100,4.61,haze
42,Den Helder,NL,52.9599,4.7593,59.02,88,100,8.05,overcast clouds
43,Busselton,AU,-33.65,115.3333,59.5,73,100,22.03,overcast clouds
44,Atar,MR,20.5169,-13.0499,97.61,8,10,5.84,clear sky
45,Labytnangi,RU,66.6572,66.4183,46.53,66,100,11.54,overcast clouds
46,Coihaique,CL,-45.5752,-72.0662,39.81,93,75,0.0,broken clouds
47,Codrington,AU,-38.2667,141.9667,53.65,82,99,4.23,overcast clouds
48,Ewo,CG,-0.8725,14.8206,80.94,54,98,5.32,overcast clouds
49,Syasstroy,RU,60.1367,32.5691,52.84,93,99,5.48,overcast clouds
50,Srednekolymsk,RU,67.45,153.6833,64.58,31,11,4.47,few clouds
51,Chokurdakh,RU,70.6333,147.9167,60.48,24,8,13.15,clear sky
52,Hastings,GB,50.8552,0.5729,58.78,84,12,10.8,few clouds
53,Basirhat,IN,22.6685,88.8697,85.98,83,85,12.37,overcast clouds
54,Olafsvik,IS,64.8945,-23.7142,47.26,83,100,6.17,light rain
55,Cape Town,ZA,-33.9258,18.4232,61.21,85,75,23.02,broken clouds
56,Diplo,PK,24.4667,69.584,83.55,70,6,7.78,clear sky
57,Kudahuvadhoo,MV,2.6708,72.8944,83.41,71,100,8.3,overcast clouds
58,Chuy,UY,-33.6971,-53.4616,47.86,91,2,6.51,clear sky
59,Ketchikan,US,55.3422,-131.6461,55.87,71,100,13.8,overcast clouds
60,College,US,64.8569,-147.8028,66.99,50,100,1.01,smoke
61,Te Anau,NZ,-45.4167,167.7167,36.0,99,98,1.86,light rain
62,Polunochnoye,RU,60.8697,60.4153,51.73,78,81,7.0,broken clouds
63,Koshurnikovo,RU,54.1667,93.3,58.39,93,98,1.21,overcast clouds
64,Mataura,NZ,-46.1927,168.8643,43.48,96,80,13.31,light rain
65,Xuddur,SO,4.1213,43.8894,72.5,77,97,15.52,overcast clouds
66,Kihei,US,20.785,-156.4656,84.22,76,40,27.63,scattered clouds
67,Saint-Augustin,CA,51.226,-58.6502,58.3,64,85,6.22,overcast clouds
68,Jamestown,US,42.097,-79.2353,73.06,43,97,1.01,overcast clouds
69,Saskylakh,RU,71.9167,114.0833,63.82,41,8,7.87,clear sky
70,Hami,CN,42.8,93.45,79.57,11,0,8.19,clear sky
71,Hilo,US,19.7297,-155.09,93.27,78,100,6.91,overcast clouds
